CBPSEG,Segment_Name,Sort,Salinity,Segment_Salinity,1984,_1984,1985,_1985,1986,_1986,1987,_1987,1989,_1989,1990,_1990,1991,_1991,1992,_1992,1993,_1993,1994,_1994,1995,_1995,1996,_1996,1997,_1997,1998,_1998,1999,_1999,2000,_2000,2001,_2001,2002,_2002,2003,_2003,2004,_2004,2005,_2005,2006,_2006,2007,_2007,2008,_2008,2009,_2009,2010,_2010,2011,_2011,2012,_2012,2013,_2013,2014,_2014,2015,_2015,2016,_2016,2017,_2017,2018,2018_nd,2019,2019_nd,2020,2020_nd,2021,2021_nd,2022,2022_nd,2023,2023_nd,2024,2024_nd,RestorationAcreageGoal
ANATF,Anacostia River,50.5,Tidal Fresh,Anacostia River (Tidal Fresh),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,nd,0,,0,,0,,0,,0,nd,0,,0,nd,0,,0,,0,,0,,0,,0,,0
BACOH,Back River,11,Oligohaline,Back River (Oligohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,30.048576,,0,,0,,0,,0,,0,,0.024711,,10.576308,,0.024711,,0,,0,,0,,0,,0,,0.568353,,14.974866,,1.23555,,26.144238,,23.796693,,6.1034935,,82.5083595,,30
BIGMH,Big Annemessex River,38,Mesohaline,Big Annemessex River Segment 2 (Mesohaline),0,,364.536672,,411.289884,,232.085712,,353.021346,,314.546319,,433.480362,,434.493513,,458.018385,,399.230916,,443.488317,,217.234401,,353.985075,,233.148285,,452.581965,,588.961974,,720.770448,,782.029017,,450.456819,,549.053709,,710.391828,,511.369434,,571.466586,,722.327241,,849.366492,,949.223643,,672.583998,,759.220764,,794.063274,,972.056607,,1220.352735,,1563.143727,,1526.15136,,1624.303452,,760.876401,,776.987973,,629.660991,,582.487692,,632.7123525,,427.293966,,2043
BOHOH,Bohemia River,4,Oligohaline,Bohemia River (Oligohaline),0,,19.348713,,3.879627,,0,,16.877613,,16.877613,,0.617775,,4.349136,,0.444798,,2.940609,,28.219962,,31.086438,,37.288899,,114.65904,,90.44226,,187.111692,,354.405162,,136.182321,,288.105549,,729.765252,,917.890095,,708.71148,,578.805753,,528.420024,,546.903852,,208.931505,,53.894691,,60.887904,,35.657973,,63.26016,,374.173962,,295.074051,,145.523079,,118.415112,pd,83.449047,,3.508962,,2.372256,,6.350727,,0,,6.8942295,,354
BSHOH,Bush River,8,Oligohaline,Bush River (Oligohaline),5.93064,pd,29.999154,,0,pd,35.361441,,0,,0,,0,,5.732952,,0,,0,,0,,96.471744,,86.364945,,6.103617,,0,pd,194.376726,,2.940609,pd,349.833627,,390.161979,,1024.221528,,725.539671,,324.035343,,642.98022,,519.128688,,381.29073,,236.113605,,278.49297,,119.823639,,247.85133,,222.250734,,366.241731,,61.629234,,126.297921,,431.157528,,552.636804,,446.181816,,444.353202,,393.201432,,290.7684535,,467.2014235,,350
C&DOH,Chesapeake & Delaware Canal,5,Oligohaline,Chesapeake & Delaware Canal (Oligohaline),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6.573126,,0,,0,,8.129919,,8.698272,,3.014742,,2.125146,,12.207234,,7.240323,,15.740907,,0,,0,,0,,0.568353,,16.927035,,21.325593,,17.816631,,16.531659,pd,0,,1.013151,,0,,0,,0,,0,,7
CB1TF1,Northern Chesapeake Bay Segment 1,1.1,Tidal Fresh,Northern Chesapeake Bay Segment 1 (Tidal Fresh),18.03903,,42.675897,,7.981653,,8.179341,,10.551597,,29.850888,,87.526362,,72.230253,,109.272042,,297.347463,,355.171203,,323.121036,,351.736374,,359.372073,,174.978591,pd,466.840212,,571.194765,,639.27357,,565.115859,,622.914888,,742.936215,,606.852738,,833.823273,,1007.294493,,1078.832838,,845.956374,,496.913499,,460.884861,,567.883491,,529.729707,,477.41652,,575.939277,,516.089235,,523.700223,,805.899843,,773.231901,,822.307947,,785.365002,,455.216831,,664.1935295,,754
CB1TF2,Northern Chesapeake Bay Segment 2,1.2,Tidal Fresh,Northern Chesapeake Bay  Segment 2 (Tidal Fresh),5362.262289,,5038.869432,,5805.009276,,5478.354567,,4805.968257,,4381.186167,,4135.237584,,4368.460002,,4322.373987,,6401.409261,,4825.81119,,4981.762311,,5801.277915,,5349.041904,,6240.936027,pd,7301.037927,,7411.594941,,8588.011518,,7003.912863,,9480.992925,,8449.629918,,8742.974199,,11725.78959,,14193.776,,14182.45836,,13272.74761,,8479.33254,,6023.924025,,6442.478943,,6908.20716,,7696.48806,,8616.775122,,9083.788311,,8638.273692,,8497.297437,,9199.880589,,10332.36101,,10549.44714,,10666.68269,,10925.35221,,12149
CB2OH,Upper Chesapeake Bay,6,Oligohaline,Upper Chesapeake Bay (Oligohaline),27.478632,pd,315.040539,,36.102771,pd,211.476738,,51.300036,,18.978048,,9.933822,,93.506424,,27.42921,,10.230354,,23.96967,,68.152938,,272.241087,,312.742416,,1.284972,pd,705.202518,,203.12442,pd,502.152231,,211.501449,,1302.788631,,1070.777052,,434.715912,,372.64188,,632.922843,,745.456737,,581.425119,,421.223706,,294.258588,,94.173621,,302.561484,,425.869374,,310.394871,,473.660448,,631.36605,,998.200845,,692.451642,,794.95287,,438.916782,,243.3242935,,434.114064,,705
CB3MH,Upper Central Chesapeake Bay,12,Mesohaline,Upper Central Chesapeake Bay (Mesohaline),944.553264,,905.460462,,435.135999,,561.755163,,227.884842,,86.191968,,54.883131,,435.90204,,800.216313,,819.91098,,854.778201,,900.740661,,916.358013,,761.790708,,6.869658,pd,9.241914,,1.23555,pd,94.692552,,22.808253,pd,908.62347,,566.474964,,169.443327,,123.505578,,188.742618,,234.457968,,202.580778,,767.449527,,433.727472,,124.098642,,363.449388,,630.62472,,744.962517,,272.092821,,466.370703,,785.117892,,340.789401,,372.913701,,651.62907,,339.472849,,575.1368875,,1370
CB4MH,Middle Central Chesapeake Bay,18,Mesohaline,Middle Central Chesapeake Bay (Mesohaline),45.048153,,87.575784,,30.913461,,15.691485,,5.980062,,12.133101,,5.584686,,18.088452,,12.058968,,0,,0,,0,,50.113908,,0,,24.21678,,0,,112.163229,pd,269.448744,,21.375015,,10.403331,,0,,0,,0,,0,,0.370665,,0,,68.177649,,0,,0,,0,,0,,35.732106,,48.828936,,22.882386,pd,161.758206,,44.751621,,42.379365,,38.277339,,43.589322,,14.3568005,,2533
